iter	Passed	Remaining
0	160	160363
1	163	81603
2	166	55349
3	169	42215
4	175	34868
5	208	34559
6	211	30033
7	214	26625
8	217	23971
9	220	21849
10	223	20101
11	226	18648
12	229	17426
13	272	19162
14	275	18063
15	278	17109
16	281	16260
17	284	15506
18	287	14839
19	336	16482
20	339	15825
21	343	15277
22	347	14741
23	364	14824
24	367	14333
25	370	13872
26	373	13447
27	414	14372
28	417	13973
29	421	13620
30	424	13261
31	427	12922
32	430	12603
33	433	12304
34	436	12028
35	439	11782
36	492	12812
37	495	12553
38	500	12338
39	509	12220
40	512	11992
41	515	11764
42	518	11546
43	521	11336
44	524	11134
45	527	10942
46	657	13331
47	664	13174
48	668	12966
49	716	13617
50	729	13578
51	737	13447
52	742	13259
53	747	13092
54	751	12917
55	754	12726
56	758	12541
57	761	12359
58	763	12184
59	766	12014
60	769	11850
61	773	11695
62	776	11549
63	779	11406
64	884	12720
65	887	12558
66	890	12401
67	893	12248
68	896	12099
69	899	11952
70	902	11813
71	905	11675
72	909	11547
73	912	11418
74	915	11292
75	918	11169
76	923	11074
77	927	10964
78	931	10855
79	934	10745
80	937	10635
81	942	10551
82	946	10457
83	973	10616
84	976	10510
85	979	10407
86	982	10311
87	985	10215
88	990	10135
89	993	10048
90	996	9956
91	1017	10046
92	1024	9991
93	1031	9938
94	1044	9949
95	1050	9892
96	1053	9809
97	1056	9726
98	1059	9645
99	1062	9565
100	1065	9486
101	1068	9408
102	1071	9331
103	1080	9306
104	1091	9307
105	1097	9257
106	1115	9310
107	1119	9245
108	1122	9179
109	1126	9114
110	1129	9048
111	1132	8982
112	1135	8915
113	1138	8849
114	1141	8784
115	1144	8722
116	1146	8654
117	1149	8593
118	1152	8533
119	1169	8579
120	1172	8519
121	1174	8455
122	1177	8398
123	1181	8344
124	1184	8290
125	1187	8237
126	1189	8178
127	1192	8126
128	1195	8073
129	1198	8022
130	1201	7971
131	1210	7957
132	1214	7915
133	1217	7869
134	1222	7834
135	1232	7826
136	1235	7781
137	1239	7739
138	1242	7696
139	1263	7761
140	1268	7730
141	1271	7682
142	1274	7640
143	1278	7599
144	1285	7578
145	1288	7538
146	1296	7520
147	1303	7503
148	1327	7582
149	1331	7546
150	1335	7510
151	1339	7475
152	1344	7441
153	1347	7401
154	1350	7361
155	1353	7323
156	1356	7284
157	1359	7246
158	1363	7210
